Player1_Strategy,Player2_Strategy,Player1_Score,Player2_Score,Winner,Moves,Time_Seconds
DQN,Random,39,9,Player1,21,0.983
DQN,Random,24,24,Draw,28,0.058
DQN,Random,37,11,Player1,23,0.044
DQN,Random,21,27,Player2,24,0.108
DQN,Random,30,18,Player1,30,0.071
DQN,Random,38,10,Player1,26,0.063
DQN,Random,28,20,Player1,33,0.062
DQN,Random,32,16,Player1,20,0.046
DQN,Random,33,15,Player1,38,0.081
DQN,Random,29,19,Player1,42,0.06
DQN,Random,33,15,Player1,29,0.045
DQN,Random,32,16,Player1,16,0.02
DQN,Random,34,14,Player1,28,0.055
DQN,Random,38,10,Player1,33,0.038
DQN,Random,24,24,Draw,36,0.038
DQN,Random,37,11,Player1,30,0.035
DQN,Random,27,21,Player1,35,0.052
DQN,Random,31,17,Player1,22,0.034
DQN,Random,38,10,Player1,26,0.027
DQN,Random,33,15,Player1,14,0.019
DQN,Random,22,26,Player2,21,0.022
DQN,Random,40,8,Player1,23,0.045
DQN,Random,38,10,Player1,21,0.023
DQN,Random,31,17,Player1,39,0.045
DQN,Random,31,17,Player1,24,0.021
DQN,Random,27,21,Player1,27,0.028
DQN,Random,28,20,Player1,25,0.022
DQN,Random,21,27,Player2,36,0.039
DQN,Random,33,15,Player1,22,0.026
DQN,Random,22,26,Player2,35,0.04
DQN,Random,27,21,Player1,55,0.075
DQN,Random,20,28,Player2,43,0.039
DQN,Random,28,20,Player1,36,0.063
DQN,Random,25,23,Player1,33,0.048
DQN,Random,35,13,Player1,20,0.047
DQN,Random,31,17,Player1,24,0.054
DQN,Random,41,7,Player1,26,0.053
DQN,Random,35,13,Player1,34,0.05
DQN,Random,29,19,Player1,23,0.021
DQN,Random,20,28,Player2,41,0.039
DQN,Random,19,29,Player2,31,0.035
DQN,Random,35,13,Player1,39,0.069
DQN,Random,33,15,Player1,36,0.071
DQN,Random,32,16,Player1,40,0.043
DQN,Random,19,29,Player2,42,0.045
DQN,Random,13,35,Player2,37,0.025
DQN,Random,40,8,Player1,17,0.047
DQN,Random,35,13,Player1,31,0.044
DQN,Random,25,23,Player1,26,0.046
DQN,Random,36,12,Player1,22,0.028
Random,DQN,31,17,Player1,44,1.01
Random,DQN,32,16,Player1,42,0.074
Random,DQN,19,29,Player2,50,0.103
Random,DQN,14,34,Player2,33,0.08
Random,DQN,20,28,Player2,47,0.076
Random,DQN,33,15,Player1,24,0.035
Random,DQN,33,15,Player1,35,0.07
Random,DQN,24,24,Draw,64,0.108
Random,DQN,24,24,Draw,39,0.052
Random,DQN,22,26,Player2,66,0.101
Random,DQN,27,21,Player1,24,0.025
Random,DQN,26,22,Player1,48,0.04
Random,DQN,25,23,Player1,47,0.057
Random,DQN,25,23,Player1,40,0.06
Random,DQN,26,22,Player1,36,0.044
Random,DQN,21,27,Player2,49,0.044
Random,DQN,26,22,Player1,32,0.031
Random,DQN,22,26,Player2,31,0.028
Random,DQN,14,34,Player2,30,0.023
Random,DQN,27,21,Player1,18,0.017
Random,DQN,30,18,Player1,31,0.021
Random,DQN,22,26,Player2,27,0.018
Random,DQN,13,35,Player2,56,0.064
Random,DQN,22,26,Player2,51,0.058
Random,DQN,23,25,Player2,45,0.066
Random,DQN,31,17,Player1,38,0.051
Random,DQN,37,11,Player1,27,0.054
Random,DQN,18,30,Player2,27,0.069
Random,DQN,15,33,Player2,23,0.033
Random,DQN,13,35,Player2,33,0.058
Random,DQN,31,17,Player1,44,0.053
