Player1_Strategy,Player2_Strategy,Player1_Score,Player2_Score,Winner,Moves,Time_Seconds
Random,Random,8,15,Player2,19,0.0
Random,Random,17,19,Player2,20,0.0
Random,Random,20,12,Player1,25,0.0
Random,Random,11,6,Player1,21,0.0
Random,Random,9,13,Player2,13,0.0
Random,Random,5,22,Player2,22,0.0
Random,Random,8,9,Player2,17,0.0
Random,Random,13,13,Draw,14,0.0
Random,Random,19,22,Player2,23,0.0
Random,Random,19,17,Player1,17,0.0
Random,Random,17,11,Player1,16,0.0
Random,Random,17,13,Player1,24,0.0
Random,Random,5,12,Player2,16,0.0
Random,Random,4,21,Player2,14,0.0
Random,Random,10,21,Player2,23,0.0
Random,Random,24,10,Player1,24,0.0
Random,Random,8,7,Player1,17,0.0
Random,Random,13,12,Player1,18,0.0
Random,Random,16,17,Player2,16,0.0
Random,Random,12,16,Player2,20,0.0
Random,Random,11,13,Player2,22,0.0
Random,Random,13,13,Draw,16,0.0
Random,Random,8,7,Player1,17,0.0
Random,Random,8,11,Player2,26,0.0
Random,Random,6,19,Player2,15,0.0
Random,Random,14,18,Player2,16,0.0
Random,Random,13,12,Player1,20,0.0
Random,Random,13,15,Player2,18,0.0
Random,Random,8,6,Player1,17,0.0
Random,Random,7,19,Player2,25,0.0
Random,Random,34,9,Player1,24,0.0
Random,Random,8,21,Player2,18,0.0
Random,Random,9,6,Player1,19,0.0
Random,Random,8,11,Player2,19,0.0
Random,Random,24,11,Player1,17,0.0
Random,Random,32,10,Player1,23,0.001
Random,Random,8,15,Player2,19,0.0
Random,Random,10,6,Player1,11,0.0
Random,Random,20,12,Player1,27,0.0
Random,Random,26,18,Player1,17,0.0
Random,Random,13,13,Draw,26,0.0
Random,Random,16,18,Player2,23,0.0
Random,Random,9,9,Draw,19,0.0
Random,Random,27,10,Player1,21,0.0
Random,Random,9,8,Player1,24,0.0
Random,Random,17,8,Player1,17,0.0
Random,Random,19,12,Player1,19,0.0
Random,Random,25,14,Player1,20,0.0
Random,Random,22,4,Player1,19,0.0
Random,Random,5,13,Player2,12,0.0
Random,Random,13,11,Player1,24,0.0
Random,Random,20,16,Player1,20,0.0
Random,Random,5,24,Player2,24,0.0
Random,Random,7,15,Player2,16,0.0
Random,Random,6,21,Player2,20,0.0
Random,Random,21,15,Player1,21,0.0
Random,Random,8,13,Player2,22,0.0
Random,Random,31,9,Player1,26,0.0
Random,Random,22,14,Player1,26,0.0
Random,Random,23,5,Player1,20,0.0
Random,Random,17,11,Player1,31,0.0
Random,Random,15,9,Player1,15,0.0
Random,Random,6,16,Player2,18,0.0
Random,Random,16,16,Draw,17,0.0
Random,Random,21,18,Player1,22,0.0
Random,Random,7,10,Player2,20,0.0
Random,Random,9,12,Player2,20,0.0
Random,Random,7,16,Player2,20,0.0
Random,Random,12,12,Draw,24,0.001
Random,Random,8,15,Player2,14,0.0
Random,Random,16,13,Player1,23,0.0
Random,Random,24,11,Player1,15,0.0
Random,Random,8,13,Player2,15,0.0
Random,Random,21,7,Player1,18,0.0
Random,Random,14,14,Draw,20,0.0
Random,Random,8,15,Player2,14,0.0
Random,Random,34,12,Player1,22,0.0
Random,Random,10,16,Player2,15,0.0
Random,Random,6,14,Player2,14,0.0
Random,Random,17,5,Player1,20,0.0
Random,Random,9,11,Player2,19,0.0
Random,Random,4,13,Player2,17,0.0
Random,Random,24,10,Player1,20,0.0
Random,Random,13,6,Player1,18,0.0
Random,Random,13,8,Player1,16,0.0
Random,Random,7,7,Draw,18,0.0
Random,Random,22,7,Player1,20,0.0
Random,Random,15,9,Player1,22,0.0
Random,Random,6,4,Player1,13,0.0
Random,Random,12,8,Player1,22,0.0
Random,Random,27,7,Player1,21,0.0
Random,Random,19,4,Player1,15,0.0
Random,Random,7,12,Player2,12,0.0
Random,Random,20,19,Player1,23,0.0
Random,Random,22,11,Player1,22,0.0
Random,Random,10,18,Player2,16,0.0
Random,Random,16,15,Player1,11,0.0
Random,Random,4,17,Player2,11,0.0
Random,Random,12,14,Player2,18,0.0
Random,Random,10,12,Player2,21,0.0
Random,Simple Minimax,8,29,Player2,20,5.859
Random,Simple Minimax,4,25,Player2,18,4.062
Random,Simple Minimax,16,26,Player2,23,2.188
Random,Simple Minimax,7,25,Player2,18,5.727
Random,Simple Minimax,6,25,Player2,21,22.609
Random,Simple Minimax,7,28,Player2,27,10.788
Random,Simple Minimax,5,25,Player2,20,3.753
Random,Simple Minimax,10,25,Player2,18,2.411
Random,Simple Minimax,12,26,Player2,20,3.863
Random,Simple Minimax,15,25,Player2,20,13.052
Random,Simple Minimax,4,25,Player2,18,3.789
Random,Simple Minimax,8,26,Player2,16,5.595
Random,Simple Minimax,6,25,Player2,20,5.73
Random,Simple Minimax,8,25,Player2,26,11.879
Random,Simple Minimax,9,25,Player2,23,19.869
Random,Simple Minimax,9,27,Player2,18,3.538
Random,Simple Minimax,14,25,Player2,23,5.296
Random,Simple Minimax,13,25,Player2,20,13.126
Random,Simple Minimax,6,25,Player2,17,2.745
Random,Simple Minimax,3,24,Player2,8,3.036
Random,Simple Minimax,9,30,Player2,21,19.941
Random,Simple Minimax,5,35,Player2,25,17.034
Random,Simple Minimax,11,25,Player2,21,3.278
Random,Simple Minimax,13,25,Player2,21,5.816
Random,Simple Minimax,14,33,Player2,33,72.725
Random,Simple Minimax,6,18,Player2,16,0.738
Random,Simple Minimax,11,25,Player2,31,7.601
Random,Simple Minimax,9,25,Player2,22,44.674
Random,Simple Minimax,4,23,Player2,16,20.839
Random,Simple Minimax,15,25,Player2,18,1.425
Random,Simple Minimax,13,25,Player2,28,12.801
Random,Simple Minimax,13,27,Player2,21,2.7
Random,Simple Minimax,5,27,Player2,24,25.953
Random,Simple Minimax,13,25,Player2,19,12.326
Random,Simple Minimax,5,26,Player2,17,5.33
Random,Simple Minimax,4,26,Player2,22,22.166
Random,Simple Minimax,5,25,Player2,15,3.022
Random,Simple Minimax,10,25,Player2,19,4.549
Random,Simple Minimax,10,26,Player2,24,42.038
Random,Simple Minimax,10,25,Player2,19,2.821
Random,Simple Minimax,4,24,Player2,14,45.184
Random,Simple Minimax,6,25,Player2,24,21.615
Random,Simple Minimax,4,25,Player2,19,58.601
Random,Simple Minimax,6,26,Player2,23,13.726
Random,Simple Minimax,6,26,Player2,19,19.874
Random,Simple Minimax,7,25,Player2,21,5.162
Random,Simple Minimax,3,25,Player2,16,5.067
Random,Simple Minimax,13,29,Player2,27,29.077
Random,Simple Minimax,20,25,Player2,21,1.853
Random,Simple Minimax,12,25,Player2,24,27.429
Random,Simple Minimax,6,25,Player2,20,28.5
Random,Simple Minimax,18,25,Player2,23,2.613
Random,Simple Minimax,11,26,Player2,22,44.624
Random,Simple Minimax,10,28,Player2,24,29.371
Random,Simple Minimax,4,25,Player2,18,4.88
Random,Simple Minimax,18,25,Player2,26,2.416
Random,Simple Minimax,12,25,Player2,21,6.26
Random,Simple Minimax,19,25,Player2,26,10.369
Random,Simple Minimax,5,25,Player2,23,24.113
Random,Simple Minimax,7,26,Player2,25,17.545
Random,Simple Minimax,8,25,Player2,23,4.959
Random,Simple Minimax,5,25,Player2,23,23.866
Random,Simple Minimax,7,25,Player2,17,10.992
