Player1_Strategy,Player2_Strategy,Player1_Score,Player2_Score,Winner,Moves,Time_Seconds
Random,Random,7,13,Player2,22,0.0
Random,Random,4,20,Player2,19,0.0
Random,Random,7,16,Player2,19,0.0
Random,Random,8,16,Player2,25,0.0
Random,Random,31,11,Player1,23,0.0
Random,Random,26,13,Player1,22,0.0
Random,Random,9,10,Player2,22,0.0
Random,Random,9,5,Player1,18,0.0
Random,Random,19,11,Player1,24,0.0
Random,Random,8,8,Draw,15,0.0
Random,Random,23,12,Player1,18,0.0
Random,Random,14,11,Player1,19,0.0
Random,Random,15,17,Player2,18,0.0
Random,Random,9,16,Player2,20,0.0
Random,Random,7,17,Player2,21,0.0
Random,Random,29,12,Player1,24,0.0
Random,Random,8,10,Player2,17,0.0
Random,Random,6,19,Player2,16,0.0
Random,Random,5,21,Player2,15,0.0
Random,Random,28,11,Player1,26,0.0
Random,Random,21,12,Player1,18,0.0
Random,Random,10,14,Player2,25,0.0
Random,Random,29,15,Player1,20,0.0
Random,Random,7,6,Player1,18,0.0
Random,Random,15,7,Player1,22,0.0
Random,Random,15,19,Player2,17,0.0
Random,Random,7,12,Player2,21,0.0
Random,Random,16,8,Player1,21,0.0
Random,Random,15,23,Player2,23,0.0
Random,Random,7,7,Draw,14,0.0
Random,Random,16,11,Player1,19,0.0
Random,Random,12,15,Player2,21,0.0
Random,Random,8,10,Player2,19,0.0
Random,Random,15,14,Player1,23,0.0
Random,Random,19,12,Player1,24,0.0
Random,Random,13,16,Player2,21,0.0
Random,Random,22,13,Player1,18,0.0
Random,Random,6,9,Player2,15,0.0
Random,Random,16,12,Player1,17,0.0
Random,Random,6,21,Player2,17,0.0
Random,Random,19,15,Player1,18,0.0
Random,Random,6,10,Player2,19,0.0
Random,Random,8,16,Player2,18,0.0
Random,Random,9,11,Player2,18,0.0
Random,Random,23,17,Player1,19,0.0
Random,Random,19,19,Draw,24,0.0
Random,Random,15,9,Player1,20,0.0
Random,Random,7,28,Player2,14,0.0
Random,Random,11,12,Player2,20,0.0
Random,Random,19,12,Player1,19,0.0
Random,Random,33,13,Player1,25,0.0
