Player1_Strategy,Player2_Strategy,Player1_Score,Player2_Score,Winner,Moves,Time_Seconds
MCTS,Random,37,11,Player1,42,8.603
MCTS,Random,17,31,Player2,45,7.374
MCTS,Random,23,25,Player2,49,7.377
MCTS,Random,20,28,Player2,36,6.429
MCTS,Random,26,22,Player1,52,7.592
MCTS,Random,31,17,Player1,54,8.691
MCTS,Random,18,30,Player2,42,7.909
MCTS,Random,32,16,Player1,19,3.722
MCTS,Random,30,18,Player1,46,6.822
MCTS,Random,20,28,Player2,51,8.394
MCTS,Random,23,25,Player2,20,3.703
MCTS,Random,26,22,Player1,48,7.462
MCTS,Random,8,40,Player2,30,3.564
MCTS,Random,24,24,Draw,50,8.094
MCTS,Random,6,42,Player2,20,2.532
MCTS,Random,17,31,Player2,33,5.649
MCTS,Random,13,35,Player2,37,5.458
MCTS,Random,17,31,Player2,48,6.945
MCTS,Random,14,34,Player2,41,5.526
MCTS,Random,24,24,Draw,53,8.795
MCTS,Random,25,23,Player1,26,3.161
MCTS,Random,13,35,Player2,28,4.518
MCTS,Random,7,41,Player2,32,5.88
MCTS,Random,21,27,Player2,44,6.327
MCTS,Random,38,10,Player1,30,5.473
MCTS,Random,20,28,Player2,46,6.028
MCTS,Random,15,33,Player2,38,6.65
MCTS,Random,18,30,Player2,44,7.336
MCTS,Random,19,29,Player2,46,7.632
MCTS,Random,22,26,Player2,46,6.054
MCTS,Random,29,19,Player1,64,9.095
MCTS,Random,12,36,Player2,43,4.855
MCTS,Random,22,26,Player2,45,5.958
MCTS,Random,18,30,Player2,48,6.993
MCTS,Random,16,32,Player2,38,7.665
MCTS,Random,31,17,Player1,51,7.879
MCTS,Random,34,14,Player1,37,7.17
MCTS,Random,20,28,Player2,57,9.141
MCTS,Random,23,25,Player2,47,6.935
MCTS,Random,27,21,Player1,40,5.341
MCTS,Random,14,34,Player2,47,6.996
MCTS,Random,23,25,Player2,33,5.219
MCTS,Random,25,23,Player1,48,7.019
MCTS,Random,20,28,Player2,36,5.598
MCTS,Random,28,20,Player1,47,8.744
MCTS,Random,13,35,Player2,45,6.423
MCTS,Random,20,28,Player2,45,6.088
MCTS,Random,35,13,Player1,31,6.283
MCTS,Random,12,36,Player2,37,4.994
MCTS,Random,13,35,Player2,38,6.381
MCTS,Random,27,21,Player1,41,7.197
MCTS,Random,19,29,Player2,27,3.288
MCTS,Random,24,24,Draw,27,3.654
MCTS,Random,27,21,Player1,48,7.074
MCTS,Random,14,34,Player2,30,3.523
MCTS,Random,20,28,Player2,48,8.493
MCTS,Random,13,35,Player2,38,4.14
MCTS,Random,38,10,Player1,24,5.065
MCTS,Random,27,21,Player1,54,8.292
MCTS,Random,30,18,Player1,56,9.397
MCTS,Random,26,22,Player1,56,8.293
MCTS,Random,12,36,Player2,30,3.852
MCTS,Random,34,14,Player1,45,6.815
MCTS,Random,27,21,Player1,45,7.8
MCTS,Random,16,32,Player2,34,5.408
MCTS,Random,18,30,Player2,44,6.897
MCTS,Random,23,25,Player2,58,8.51
MCTS,Random,18,30,Player2,50,7.554
MCTS,Random,20,28,Player2,36,5.362
MCTS,Random,13,35,Player2,44,6.1
MCTS,Random,23,25,Player2,35,5.988
MCTS,Random,14,34,Player2,58,7.36
MCTS,Random,21,27,Player2,29,3.742
MCTS,Random,18,30,Player2,41,5.62
MCTS,Random,36,12,Player1,22,2.742
MCTS,Random,20,28,Player2,67,8.22
MCTS,Random,8,40,Player2,36,6.971
MCTS,Random,16,32,Player2,34,6.346
MCTS,Random,20,28,Player2,44,7.262
MCTS,Random,21,27,Player2,55,8.906
MCTS,Random,17,31,Player2,30,6.509
MCTS,Random,11,37,Player2,29,3.558
MCTS,Random,24,24,Draw,31,3.993
MCTS,Random,20,28,Player2,40,5.407
MCTS,Random,19,29,Player2,61,8.901
MCTS,Random,35,13,Player1,38,5.747
MCTS,Random,23,25,Player2,29,4.597
MCTS,Random,27,21,Player1,61,9.653
MCTS,Random,18,30,Player2,34,7.612
MCTS,Random,24,24,Draw,58,8.799
MCTS,Random,22,26,Player2,32,5.216
MCTS,Random,36,12,Player1,37,4.947
MCTS,Random,31,17,Player1,50,7.344
MCTS,Random,18,30,Player2,49,6.208
MCTS,Random,18,30,Player2,50,8.794
MCTS,Random,19,29,Player2,32,4.93
MCTS,Random,12,36,Player2,27,5.281
MCTS,Random,26,22,Player1,36,5.965
MCTS,Random,20,28,Player2,45,6.095
MCTS,Random,12,36,Player2,27,5.033
MCTS,Random,22,26,Player2,44,7.775
MCTS,Random,34,14,Player1,44,8.239
MCTS,Random,35,13,Player1,50,8.556
MCTS,Random,35,13,Player1,20,3.48
MCTS,Random,10,38,Player2,37,4.939
MCTS,Random,20,28,Player2,47,5.582
MCTS,Random,30,18,Player1,47,8.202
MCTS,Random,22,26,Player2,51,6.634
MCTS,Random,28,20,Player1,28,4.95
MCTS,Random,14,34,Player2,34,5.677
MCTS,Random,9,39,Player2,21,5.07
MCTS,Random,16,32,Player2,33,3.861
MCTS,Random,20,28,Player2,64,8.298
MCTS,Random,22,26,Player2,49,5.993
MCTS,Random,20,28,Player2,29,4.749
MCTS,Random,11,37,Player2,41,7.387
MCTS,Random,20,28,Player2,40,6.673
MCTS,Random,24,24,Draw,27,5.042
MCTS,Random,16,32,Player2,46,8.618
MCTS,Random,32,16,Player1,51,8.426
MCTS,Random,22,26,Player2,41,7.396
MCTS,Random,15,33,Player2,41,5.037
MCTS,Random,29,19,Player1,62,10.345
MCTS,Random,20,28,Player2,38,4.182
MCTS,Random,20,28,Player2,58,6.917
MCTS,Random,23,25,Player2,30,5.378
MCTS,Random,11,37,Player2,24,5.049
MCTS,Random,31,17,Player1,45,5.566
MCTS,Random,30,18,Player1,48,8.108
MCTS,Random,23,25,Player2,40,6.021
MCTS,Random,27,21,Player1,23,5.185
MCTS,Random,23,25,Player2,64,10.612
MCTS,Random,19,29,Player2,39,4.523
MCTS,Random,28,20,Player1,54,8.883
MCTS,Random,22,26,Player2,47,6.522
MCTS,Random,22,26,Player2,47,6.344
MCTS,Random,24,24,Draw,59,8.906
MCTS,Random,37,11,Player1,12,1.82
MCTS,Random,26,22,Player1,32,5.537
MCTS,Random,26,22,Player1,47,6.432
MCTS,Random,19,29,Player2,42,5.533
MCTS,Random,16,32,Player2,53,8.093
MCTS,Random,18,30,Player2,34,5.387
MCTS,Random,21,27,Player2,31,4.419
MCTS,Random,17,31,Player2,43,5.857
MCTS,Random,12,36,Player2,35,5.684
MCTS,Random,14,34,Player2,40,6.768
MCTS,Random,18,30,Player2,43,6.449
MCTS,Random,12,36,Player2,45,7.629
MCTS,Random,16,32,Player2,47,5.698
MCTS,Random,37,11,Player1,31,4.184
MCTS,Random,17,31,Player2,25,3.704
MCTS,Random,15,33,Player2,37,4.463
MCTS,Random,32,16,Player1,23,4.632
MCTS,Random,23,25,Player2,19,2.623
MCTS,Random,18,30,Player2,40,4.681
MCTS,Random,27,21,Player1,28,4.974
MCTS,Random,34,14,Player1,47,4.992
MCTS,Random,17,31,Player2,43,7.508
MCTS,Random,18,30,Player2,46,7.239
MCTS,Random,23,25,Player2,60,10.137
MCTS,Random,13,35,Player2,35,4.66
MCTS,Random,34,14,Player1,55,10.494
MCTS,Random,20,28,Player2,39,4.632
MCTS,Random,30,18,Player1,57,9.703
MCTS,Random,19,29,Player2,37,5.641
MCTS,Random,20,28,Player2,50,6.377
MCTS,Random,20,28,Player2,47,6.463
MCTS,Random,22,26,Player2,56,8.819
MCTS,Random,20,28,Player2,48,5.906
MCTS,Random,23,25,Player2,46,6.342
MCTS,Random,14,34,Player2,39,6.121
MCTS,Random,38,10,Player1,29,5.071
MCTS,Random,24,24,Draw,52,7.591
MCTS,Random,18,30,Player2,42,6.031
MCTS,Random,23,25,Player2,54,9.11
MCTS,Random,24,24,Draw,38,7.036
MCTS,Random,29,19,Player1,48,8.881
MCTS,Random,17,31,Player2,67,10.216
MCTS,Random,16,32,Player2,60,9.675
MCTS,Random,12,36,Player2,41,5.929
MCTS,Random,20,28,Player2,46,8.201
MCTS,Random,25,23,Player1,40,4.712
MCTS,Random,16,32,Player2,45,6.623
MCTS,Random,23,25,Player2,41,6.043
MCTS,Random,31,17,Player1,46,6.939
MCTS,Random,33,15,Player1,27,3.539
MCTS,Random,23,25,Player2,52,7.202
MCTS,Random,19,29,Player2,27,4.622
MCTS,Random,27,21,Player1,55,7.751
MCTS,Random,18,30,Player2,31,4.271
MCTS,Random,24,24,Draw,38,4.558
MCTS,Random,20,28,Player2,49,6.232
MCTS,Random,21,27,Player2,49,6.485
MCTS,Random,19,29,Player2,39,4.853
MCTS,Random,20,28,Player2,39,6.731
MCTS,Random,18,30,Player2,36,4.852
MCTS,Random,13,35,Player2,28,4.512
MCTS,Random,32,16,Player1,56,10.555
MCTS,Random,25,23,Player1,51,8.532
MCTS,Random,23,25,Player2,47,8.024
MCTS,Random,20,28,Player2,29,4.077
MCTS,Random,17,31,Player2,32,5.203
MCTS,Random,26,22,Player1,58,8.409
MCTS,Random,34,14,Player1,42,8.311
MCTS,Random,19,29,Player2,18,3.075
MCTS,Random,24,24,Draw,50,8.206
MCTS,Random,15,33,Player2,33,6.077
MCTS,Random,8,40,Player2,28,6.621
MCTS,Random,15,33,Player2,31,6.279
MCTS,Random,30,18,Player1,35,6.478
MCTS,Random,17,31,Player2,49,7.3
MCTS,Random,16,32,Player2,41,5.611
MCTS,Random,21,27,Player2,52,7.247
MCTS,Random,19,29,Player2,34,6.438
MCTS,Random,18,30,Player2,52,8.17
MCTS,Random,26,22,Player1,34,5.113
MCTS,Random,37,11,Player1,33,6.403
MCTS,Random,27,21,Player1,53,8.803
MCTS,Random,16,32,Player2,48,8.902
MCTS,Random,19,29,Player2,35,3.985
MCTS,Random,17,31,Player2,49,7.331
MCTS,Random,25,23,Player1,59,7.811
MCTS,Random,17,31,Player2,53,6.442
MCTS,Random,28,20,Player1,51,7.942
MCTS,Random,29,19,Player1,44,6.998
MCTS,Random,20,28,Player2,45,6.943
MCTS,Random,21,27,Player2,48,8.353
MCTS,Random,10,38,Player2,31,5.177
MCTS,Random,11,37,Player2,50,6.525
MCTS,Random,12,36,Player2,36,7.375
MCTS,Random,16,32,Player2,51,7.376
MCTS,Random,19,29,Player2,37,5.365
MCTS,Random,24,24,Draw,45,6.68
MCTS,Random,22,26,Player2,47,7.645
