Player1_Strategy,Player2_Strategy,Player1_Score,Player2_Score,Winner,Moves,Time_Seconds
DQN,Random,31,17,Player1,44,0.002
DQN,Random,23,25,Player2,51,0.001
DQN,Random,25,23,Player1,44,0.001
DQN,Random,29,19,Player1,39,0.001
DQN,Random,24,24,Draw,30,0.001
DQN,Random,19,29,Player2,29,0.002
DQN,Random,17,31,Player2,43,0.002
DQN,Random,28,20,Player1,52,0.001
DQN,Random,25,23,Player1,46,0.001
DQN,Random,28,20,Player1,34,0.001
DQN,Random,19,29,Player2,31,0.001
DQN,Random,26,22,Player1,51,0.001
DQN,Random,19,29,Player2,35,0.001
DQN,Random,21,27,Player2,38,0.001
DQN,Random,14,34,Player2,25,0.001
DQN,Random,23,25,Player2,56,0.001
DQN,Random,30,18,Player1,41,0.001
DQN,Random,19,29,Player2,37,0.001
DQN,Random,25,23,Player1,53,0.005
DQN,Random,26,22,Player1,56,0.002
DQN,Random,20,28,Player2,24,0.001
DQN,Random,21,27,Player2,36,0.001
DQN,Random,27,21,Player1,45,0.001
DQN,Random,28,20,Player1,37,0.001
DQN,Random,22,26,Player2,30,0.001
DQN,Random,21,27,Player2,36,0.001
DQN,Random,25,23,Player1,49,0.001
DQN,Random,24,24,Draw,50,0.001
DQN,Random,23,25,Player2,40,0.001
DQN,Random,21,27,Player2,45,0.003
DQN,Random,22,26,Player2,32,0.006
DQN,Random,12,36,Player2,26,0.001
DQN,Random,19,29,Player2,40,0.001
DQN,Random,20,28,Player2,25,0.001
DQN,Random,27,21,Player1,45,0.001
DQN,Random,21,27,Player2,25,0.0
DQN,Random,23,25,Player2,46,0.001
DQN,Random,27,21,Player1,51,0.002
DQN,Random,25,23,Player1,34,0.001
DQN,Random,31,17,Player1,40,0.001
DQN,Random,28,20,Player1,37,0.001
DQN,Random,34,14,Player1,37,0.001
DQN,Random,27,21,Player1,45,0.001
DQN,Random,20,28,Player2,45,0.001
DQN,Random,15,33,Player2,24,0.001
DQN,Random,21,27,Player2,37,0.001
DQN,Random,23,25,Player2,38,0.001
DQN,Random,26,22,Player1,60,0.002
DQN,Random,17,31,Player2,39,0.001
DQN,Random,16,32,Player2,43,0.001
DQN,Random,23,25,Player2,48,0.001
DQN,Random,20,28,Player2,49,0.001
DQN,Random,29,19,Player1,44,0.001
DQN,Random,25,23,Player1,45,0.001
DQN,Random,21,27,Player2,44,0.001
DQN,Random,26,22,Player1,32,0.001
DQN,Random,16,32,Player2,39,0.001
DQN,Random,20,28,Player2,38,0.002
DQN,Random,28,20,Player1,57,0.002
DQN,Random,28,20,Player1,22,0.0
DQN,Random,24,24,Draw,44,0.001
DQN,Random,29,19,Player1,30,0.001
DQN,Random,22,26,Player2,44,0.001
DQN,Random,28,20,Player1,52,0.001
DQN,Random,24,24,Draw,44,0.001
DQN,Random,18,30,Player2,46,0.002
DQN,Random,27,21,Player1,47,0.001
DQN,Random,32,16,Player1,39,0.001
DQN,Random,25,23,Player1,32,0.001
DQN,Random,22,26,Player2,44,0.001
DQN,Random,22,26,Player2,52,0.001
DQN,Random,13,35,Player2,26,0.001
DQN,Random,18,30,Player2,39,0.001
DQN,Random,24,24,Draw,47,0.001
DQN,Random,25,23,Player1,39,0.001
DQN,Random,26,22,Player1,28,0.001
DQN,Random,26,22,Player1,47,0.002
DQN,Random,17,31,Player2,39,0.001
DQN,Random,12,36,Player2,35,0.001
DQN,Random,14,34,Player2,40,0.001
DQN,Random,24,24,Draw,49,0.002
DQN,Random,12,36,Player2,40,0.001
DQN,Random,24,24,Draw,44,0.001
DQN,Random,21,27,Player2,49,0.001
DQN,Random,15,33,Player2,42,0.001
DQN,Random,26,22,Player1,26,0.001
DQN,Random,30,18,Player1,39,0.001
DQN,Random,25,23,Player1,50,0.001
DQN,Random,25,23,Player1,33,0.001
DQN,Random,30,18,Player1,38,0.001
DQN,Random,24,24,Draw,29,0.001
DQN,Random,15,33,Player2,39,0.002
DQN,Random,28,20,Player1,47,0.002
DQN,Random,21,27,Player2,53,0.005
DQN,Random,21,27,Player2,51,0.001
DQN,Random,26,22,Player1,43,0.001
DQN,Random,11,37,Player2,36,0.001
DQN,Random,23,25,Player2,41,0.001
DQN,Random,37,11,Player1,42,0.001
DQN,Random,17,31,Player2,32,0.001
DQN,Random,14,34,Player2,30,0.001
DQN,Random,24,24,Draw,44,0.001
DQN,Random,27,21,Player1,47,0.001
DQN,Random,24,24,Draw,27,0.001
DQN,Random,37,11,Player1,37,0.001
DQN,Random,22,26,Player2,55,0.001
