Player1_Strategy,Player2_Strategy,Player1_Score,Player2_Score,Winner,Moves,Time_Seconds
Random,Simple Minimax,13,35,Player2,25,0.956
Random,Simple Minimax,26,22,Player1,45,1.831
Random,Simple Minimax,16,32,Player2,38,1.493
Random,Simple Minimax,12,36,Player2,27,1.432
Random,Simple Minimax,15,33,Player2,29,1.291
Random,Simple Minimax,19,29,Player2,47,1.607
Random,Simple Minimax,22,26,Player2,41,1.566
Random,Simple Minimax,34,14,Player1,33,1.102
Random,Simple Minimax,13,35,Player2,43,1.986
Random,Simple Minimax,24,24,Draw,27,0.804
Random,Simple Minimax,21,27,Player2,42,1.787
Random,Simple Minimax,22,26,Player2,32,0.89
Random,Simple Minimax,22,26,Player2,35,1.617
Random,Simple Minimax,22,26,Player2,37,1.554
Random,Simple Minimax,20,28,Player2,45,1.73
Random,Simple Minimax,29,19,Player1,35,1.476
Random,Simple Minimax,19,29,Player2,25,0.938
Random,Simple Minimax,19,29,Player2,31,1.138
Random,Simple Minimax,18,30,Player2,35,1.104
Random,Simple Minimax,18,30,Player2,30,1.1
Random,Simple Minimax,21,27,Player2,27,1.153
Random,Simple Minimax,24,24,Draw,55,1.775
Random,Simple Minimax,22,26,Player2,38,1.574
Random,Simple Minimax,21,27,Player2,47,1.559
Random,Simple Minimax,18,30,Player2,21,0.716
Random,Simple Minimax,17,31,Player2,49,2.337
Random,Simple Minimax,21,27,Player2,33,1.248
Random,Simple Minimax,28,20,Player1,34,1.245
Random,Simple Minimax,28,20,Player1,38,0.983
Random,Simple Minimax,27,21,Player1,41,1.588
Random,Simple Minimax,27,21,Player1,39,1.481
Random,Simple Minimax,23,25,Player2,42,1.031
Random,Simple Minimax,21,27,Player2,51,1.972
Random,Simple Minimax,20,28,Player2,41,1.217
Random,Simple Minimax,18,30,Player2,35,1.154
Random,Simple Minimax,27,21,Player1,35,1.297
Random,Simple Minimax,26,22,Player1,29,0.781
Random,Simple Minimax,20,28,Player2,45,2.263
Random,Simple Minimax,34,14,Player1,28,1.122
Random,Simple Minimax,20,28,Player2,42,1.434
Random,Simple Minimax,10,38,Player2,37,1.246
Random,Simple Minimax,20,28,Player2,55,2.505
Random,Simple Minimax,31,17,Player1,33,1.633
Random,Simple Minimax,18,30,Player2,46,1.606
Random,Simple Minimax,29,19,Player1,36,1.413
Random,Simple Minimax,19,29,Player2,43,1.443
Random,Simple Minimax,30,18,Player1,59,1.892
Random,Simple Minimax,28,20,Player1,37,1.418
Random,Simple Minimax,28,20,Player1,33,1.28
Random,Simple Minimax,19,29,Player2,53,1.853
Random,Simple Minimax,21,27,Player2,45,1.749
Random,Simple Minimax,19,29,Player2,29,1.038
Random,Simple Minimax,20,28,Player2,35,1.407
Random,Simple Minimax,15,33,Player2,37,1.012
Random,Simple Minimax,16,32,Player2,53,1.798
Random,Simple Minimax,21,27,Player2,51,1.405
Random,Simple Minimax,21,27,Player2,46,1.852
Random,Simple Minimax,15,33,Player2,37,1.187
Random,Simple Minimax,14,34,Player2,46,2.752
