Player1_Strategy,Player2_Strategy,Player1_Score,Player2_Score,Winner,Moves,Time_Seconds
Random,A3C,30,18,Player1,41,14.806
Random,A3C,35,13,Player1,34,9.304
Random,A3C,30,18,Player1,46,12.528
Random,A3C,30,18,Player1,37,11.572
Random,A3C,22,26,Player2,35,10.006
Random,A3C,18,30,Player2,43,11.655
A3C,Random,31,17,Player1,23,9.184
A3C,Random,22,26,Player2,41,11.622
A3C,Random,26,22,Player1,49,15.246
A3C,Random,26,22,Player1,40,11.598
A3C,Random,17,31,Player2,39,12.144
A3C,Random,21,27,Player2,37,11.594
Random,A3C,22,26,Player2,33,12.515
Random,A3C,15,33,Player2,32,9.525
Random,A3C,22,26,Player2,42,10.753
Random,A3C,27,21,Player1,35,10.64
Random,A3C,23,25,Player2,57,18.146
Random,A3C,34,14,Player1,34,9.427
Random,A3C,13,35,Player2,26,11.238
Random,A3C,19,29,Player2,51,15.863
Random,A3C,13,35,Player2,49,15.102
Random,A3C,25,23,Player1,43,12.914
Random,A3C,32,16,Player1,28,9.343
Random,A3C,36,12,Player1,25,7.1
A3C,Random,21,27,Player2,44,15.948
A3C,Random,31,17,Player1,39,9.299
A3C,Random,34,14,Player1,31,8.446
A3C,Random,23,25,Player2,39,12.222
A3C,Random,20,28,Player2,51,14.338
A3C,Random,31,17,Player1,44,13.678
A3C,Random,30,18,Player1,43,16.618
A3C,Random,22,26,Player2,33,11.13
A3C,Random,21,27,Player2,37,11.968
A3C,Random,17,31,Player2,46,13.337
A3C,Random,28,20,Player1,36,11.462
A3C,Random,23,25,Player2,28,9.415
Random,A3C,19,29,Player2,52,17.651
Random,A3C,22,26,Player2,39,11.406
Random,A3C,15,33,Player2,28,8.952
Random,A3C,18,30,Player2,30,9.204
Random,A3C,21,27,Player2,55,16.632
Random,A3C,23,25,Player2,29,9.951
A3C,Random,26,22,Player1,36,14.095
A3C,Random,17,31,Player2,43,11.957
A3C,Random,30,18,Player1,56,16.532
A3C,Random,21,27,Player2,43,12.117
A3C,Random,22,26,Player2,42,11.603
A3C,Random,29,19,Player1,32,9.986
A3C,Random,30,18,Player1,42,14.647
A3C,Random,23,25,Player2,53,13.051
A3C,Random,25,23,Player1,53,15.872
A3C,Random,20,28,Player2,42,11.076
A3C,Random,23,25,Player2,49,14.09
A3C,Random,17,31,Player2,26,9.494
Random,A3C,16,32,Player2,40,14.026
Random,A3C,21,27,Player2,44,13.895
Random,A3C,25,23,Player1,44,12.841
Random,A3C,26,22,Player1,48,14.925
Random,A3C,30,18,Player1,37,11.256
Random,A3C,23,25,Player2,32,8.364
Random,A3C,27,21,Player1,56,19.392
Random,A3C,16,32,Player2,27,6.943
Random,A3C,27,21,Player1,38,10.438
Random,A3C,27,21,Player1,51,14.344
Random,A3C,30,18,Player1,36,10.501
Random,A3C,23,25,Player2,56,17.922
A3C,Random,23,25,Player2,35,14.641
A3C,Random,30,18,Player1,53,16.393
A3C,Random,23,25,Player2,27,8.566
A3C,Random,26,22,Player1,51,14.57
A3C,Random,30,18,Player1,62,19.258
A3C,Random,23,25,Player2,38,10.839
A3C,Random,22,26,Player2,53,19.572
A3C,Random,28,20,Player1,42,12.384
A3C,Random,26,22,Player1,46,12.937
A3C,Random,32,16,Player1,39,11.72
A3C,Random,23,25,Player2,52,16.894
A3C,Random,34,14,Player1,44,13.537
A3C,Random,25,23,Player1,57,19.632
A3C,Random,21,27,Player2,32,8.964
A3C,Random,24,24,Draw,39,11.054
A3C,Random,22,26,Player2,41,12.571
A3C,Random,33,15,Player1,54,15.675
A3C,Random,33,15,Player1,65,19.004
A3C,Random,28,20,Player1,41,15.889
A3C,Random,26,22,Player1,63,18.274
A3C,Random,26,22,Player1,50,14.422
A3C,Random,17,31,Player2,42,12.721
A3C,Random,28,20,Player1,40,11.681
A3C,Random,25,23,Player1,50,14.667
A3C,Random,20,28,Player2,47,17.804
A3C,Random,24,24,Draw,49,15.705
A3C,Random,23,25,Player2,65,19.349
A3C,Random,35,13,Player1,42,13.29
A3C,Random,31,17,Player1,40,11.242
A3C,Random,29,19,Player1,41,11.211
A3C,Simple Minimax,17,31,Player2,33,8.167
A3C,Simple Minimax,25,23,Player1,31,9.667
A3C,Simple Minimax,15,33,Player2,20,7.18
A3C,Simple Minimax,21,27,Player2,31,10.154
A3C,Simple Minimax,20,28,Player2,19,5.98
A3C,Simple Minimax,17,31,Player2,27,8.595
A3C,Simple Minimax,20,28,Player2,28,9.093
A3C,Simple Minimax,18,30,Player2,26,7.383
A3C,Simple Minimax,20,28,Player2,26,8.709
A3C,Simple Minimax,19,29,Player2,28,10.36
A3C,Simple Minimax,20,28,Player2,29,8.88
A3C,Simple Minimax,17,31,Player2,20,7.069
