Player1_Strategy,Player2_Strategy,Player1_Score,Player2_Score,Winner,Moves,Time_Seconds
A3C,DQN,23,25,Player2,19,11.008
A3C,DQN,28,20,Player1,55,24.211
A3C,DQN,29,19,Player1,25,11.339
A3C,DQN,27,21,Player1,36,16.294
A3C,DQN,22,26,Player2,31,13.441
A3C,DQN,36,12,Player1,37,15.89
A3C,DQN,25,23,Player1,34,15.65
A3C,DQN,28,20,Player1,26,11.849
A3C,DQN,26,22,Player1,44,22.144
A3C,DQN,32,16,Player1,25,10.787
A3C,DQN,39,9,Player1,19,8.629
A3C,DQN,30,18,Player1,23,9.91
A3C,DQN,21,27,Player2,33,14.282
A3C,DQN,31,17,Player1,44,19.819
A3C,DQN,25,23,Player1,42,18.886
A3C,DQN,26,22,Player1,44,19.629
A3C,DQN,27,21,Player1,45,21.572
A3C,DQN,24,24,Draw,43,18.55
A3C,DQN,26,22,Player1,29,12.255
A3C,DQN,23,25,Player2,34,14.836
A3C,DQN,37,11,Player1,31,13.045
A3C,DQN,23,25,Player2,33,14.809
A3C,DQN,37,11,Player1,30,13.825
A3C,DQN,22,26,Player2,33,14.945
A3C,DQN,24,24,Draw,32,17.052
A3C,DQN,35,13,Player1,31,13.739
A3C,DQN,32,16,Player1,39,17.096
A3C,DQN,35,13,Player1,43,18.409
A3C,DQN,31,17,Player1,29,12.597
A3C,DQN,19,29,Player2,40,16.929
A3C,DQN,35,13,Player1,31,13.645
A3C,DQN,18,30,Player2,48,21.916
A3C,DQN,25,23,Player1,34,18.138
A3C,DQN,22,26,Player2,45,19.256
A3C,DQN,23,25,Player2,37,15.643
A3C,DQN,24,24,Draw,55,22.882
A3C,DQN,25,23,Player1,34,15.475
A3C,DQN,29,19,Player1,26,11.598
A3C,DQN,36,12,Player1,36,15.693
A3C,DQN,27,21,Player1,32,14.693
A3C,DQN,24,24,Draw,47,24.245
A3C,DQN,32,16,Player1,37,16.422
A3C,DQN,21,27,Player2,34,14.858
A3C,DQN,26,22,Player1,43,18.564
A3C,DQN,30,18,Player1,36,15.071
A3C,DQN,35,13,Player1,37,16.884
A3C,DQN,25,23,Player1,32,14.483
A3C,DQN,25,23,Player1,42,18.453
DQN,A3C,16,32,Player2,29,15.397
DQN,A3C,15,33,Player2,48,20.55
DQN,A3C,13,35,Player2,37,16.274
DQN,A3C,27,21,Player1,33,14.418
DQN,A3C,18,30,Player2,46,20.476
DQN,A3C,24,24,Draw,44,19.696
DQN,A3C,34,14,Player1,37,16.408
DQN,A3C,18,30,Player2,37,16.033
DQN,A3C,31,17,Player1,42,19.972
DQN,A3C,20,28,Player2,34,14.834
DQN,A3C,20,28,Player2,42,18.846
DQN,A3C,24,24,Draw,39,18.112
DQN,A3C,20,28,Player2,35,15.412
DQN,A3C,23,25,Player2,47,20.899
DQN,A3C,17,31,Player2,36,15.806
DQN,A3C,22,26,Player2,35,14.651
A3C,DQN,26,22,Player1,33,17.432
A3C,DQN,16,32,Player2,30,12.814
A3C,DQN,27,21,Player1,49,22.041
A3C,DQN,19,29,Player2,41,17.589
A3C,DQN,37,11,Player1,34,15.045
A3C,DQN,26,22,Player1,52,23.403
A3C,DQN,22,26,Player2,36,15.903
A3C,DQN,35,13,Player1,40,16.735
A3C,DQN,20,28,Player2,26,14.576
A3C,DQN,33,15,Player1,25,10.876
A3C,DQN,23,25,Player2,56,24.849
A3C,DQN,21,27,Player2,50,21.625
A3C,DQN,13,35,Player2,44,18.026
A3C,DQN,27,21,Player1,47,21.399
A3C,DQN,22,26,Player2,35,15.242
A3C,DQN,19,29,Player2,36,15.513
A3C,DQN,27,21,Player1,37,18.883
A3C,DQN,25,23,Player1,44,18.922
A3C,DQN,33,15,Player1,17,7.435
A3C,DQN,36,12,Player1,43,18.995
A3C,DQN,27,21,Player1,44,18.293
A3C,DQN,17,31,Player2,46,20.374
A3C,DQN,21,27,Player2,48,21.211
A3C,DQN,31,17,Player1,46,19.32
DQN,A3C,22,26,Player2,38,17.897
DQN,A3C,14,34,Player2,51,22.792
DQN,A3C,27,21,Player1,35,15.265
DQN,A3C,27,21,Player1,43,19.028
DQN,A3C,21,27,Player2,33,13.667
DQN,A3C,21,27,Player2,56,24.651
DQN,A3C,12,36,Player2,38,16.764
DQN,A3C,19,29,Player2,42,14.012
A3C,DQN,31,17,Player1,38,20.553
A3C,DQN,22,26,Player2,38,17.742
A3C,DQN,17,31,Player2,44,18.837
A3C,DQN,21,27,Player2,49,21.772
A3C,DQN,22,26,Player2,49,21.452
A3C,DQN,18,30,Player2,43,19.197
A3C,DQN,26,22,Player1,44,18.982
A3C,DQN,35,13,Player1,37,10.688
DQN,A3C,24,24,Draw,54,24.512
DQN,A3C,12,36,Player2,48,21.604
DQN,A3C,17,31,Player2,28,12.152
DQN,A3C,26,22,Player1,53,22.934
DQN,A3C,9,39,Player2,35,15.306
DQN,A3C,27,21,Player1,50,21.477
DQN,A3C,15,33,Player2,32,13.851
DQN,A3C,20,28,Player2,49,15.341
DQN,A3C,30,18,Player1,54,26.094
DQN,A3C,34,14,Player1,37,16.243
DQN,A3C,17,31,Player2,33,14.147
DQN,A3C,29,19,Player1,57,25.073
DQN,A3C,23,25,Player2,47,21.116
DQN,A3C,25,23,Player1,37,15.387
DQN,A3C,31,17,Player1,37,16.124
DQN,A3C,26,22,Player1,48,15.483
DQN,A3C,22,26,Player2,59,26.521
DQN,A3C,25,23,Player1,50,22.585
DQN,A3C,24,24,Draw,54,24.1
DQN,A3C,19,29,Player2,56,25.09
DQN,A3C,34,14,Player1,40,17.633
DQN,A3C,27,21,Player1,30,13.378
DQN,A3C,22,26,Player2,33,12.467
DQN,A3C,14,34,Player2,30,7.311
DQN,A3C,31,17,Player1,38,16.608
DQN,A3C,19,29,Player2,34,10.921
DQN,A3C,33,15,Player1,29,6.136
DQN,A3C,21,27,Player2,27,5.299
DQN,A3C,17,31,Player2,22,4.459
DQN,A3C,15,33,Player2,38,7.091
DQN,A3C,25,23,Player1,58,10.915
DQN,A3C,25,23,Player1,52,9.809
DQN,A3C,22,26,Player2,42,17.6
DQN,A3C,16,32,Player2,42,10.131
DQN,A3C,24,24,Draw,43,8.79
DQN,A3C,12,36,Player2,29,5.546
DQN,A3C,23,25,Player2,37,7.213
DQN,A3C,22,26,Player2,42,7.914
DQN,A3C,8,40,Player2,20,3.732
DQN,A3C,26,22,Player1,34,6.526
DQN,A3C,24,24,Draw,40,14.22
DQN,A3C,19,29,Player2,35,7.941
