Player1_Strategy,Player2_Strategy,Player1_Score,Player2_Score,Winner,Moves,Time_Seconds
Random,Random,8,12,Player2,16,0.0
Random,Random,12,12,Draw,18,0.0
Random,Random,25,9,Player1,19,0.0
Random,Random,6,10,Player2,14,0.0
Random,Random,12,7,Player1,16,0.0
Random,Random,14,19,Player2,16,0.0
Random,Random,11,12,Player2,15,0.0
Random,Random,14,11,Player1,16,0.0
Random,Random,18,12,Player1,15,0.0
Random,Random,22,17,Player1,18,0.0
Random,Random,17,9,Player1,27,0.001
Random,Random,11,15,Player2,19,0.0
Random,Random,22,15,Player1,22,0.0
Random,Random,7,14,Player2,28,0.001
Random,Random,5,12,Player2,10,0.0
Random,Random,5,14,Player2,12,0.0
Random,Random,14,19,Player2,25,0.0
Random,Random,17,14,Player1,23,0.0
Random,Random,29,6,Player1,19,0.0
Random,Random,21,10,Player1,24,0.0
Random,Random,14,7,Player1,16,0.0
Random,Random,9,17,Player2,19,0.0
Random,Random,14,5,Player1,16,0.0
Random,Random,15,19,Player2,19,0.0
Random,Random,24,13,Player1,30,0.001
Random,Random,8,13,Player2,22,0.0
Random,Random,18,10,Player1,21,0.0
Random,Random,14,15,Player2,22,0.0
Random,Random,10,14,Player2,22,0.0
Random,Random,9,19,Player2,18,0.0
Random,Random,18,9,Player1,15,0.0
Random,Random,15,15,Draw,20,0.0
Random,Random,13,17,Player2,23,0.0
Random,Random,12,7,Player1,18,0.001
Random,Random,20,14,Player1,19,0.0
Random,Random,17,4,Player1,15,0.0
Random,Random,7,14,Player2,15,0.0
Random,Random,8,14,Player2,13,0.0
Random,Random,5,18,Player2,11,0.0
Random,Random,24,18,Player1,23,0.0
Random,Random,13,13,Draw,15,0.0
Random,Random,26,18,Player1,27,0.001
Random,Random,20,18,Player1,26,0.001
Random,Random,21,16,Player1,19,0.001
Random,Random,20,11,Player1,17,0.0
Random,Random,11,14,Player2,16,0.0
Random,Random,21,26,Player2,19,0.0
Random,Random,16,15,Player1,19,0.0
Random,Random,12,16,Player2,20,0.0
Random,Random,21,15,Player1,20,0.0
Random,Random,14,21,Player2,27,0.0
Random,Random,9,14,Player2,21,0.0
Random,Random,5,13,Player2,11,0.0
Random,Random,15,7,Player1,22,0.0
Random,Random,17,10,Player1,16,0.0
Random,Random,11,13,Player2,21,0.0
Random,Random,21,8,Player1,23,0.0
Random,Random,7,15,Player2,18,0.0
Random,Random,5,24,Player2,21,0.0
Random,Random,21,10,Player1,21,0.0
Random,Random,13,18,Player2,26,0.0
Random,Random,8,10,Player2,16,0.0
Random,Random,15,10,Player1,17,0.0
Random,Random,24,8,Player1,21,0.0
Random,Random,15,17,Player2,17,0.0
Random,Random,17,20,Player2,23,0.0
Random,Random,17,12,Player1,21,0.0
Random,Random,25,17,Player1,19,0.0
Random,Random,34,13,Player1,25,0.0
Random,Random,18,7,Player1,25,0.0
Random,Random,35,12,Player1,25,0.0
Random,Random,17,16,Player1,15,0.0
Random,Random,19,16,Player1,19,0.0
Random,Random,8,13,Player2,11,0.0
Random,Random,15,11,Player1,21,0.0
Random,Random,20,13,Player1,19,0.0
Random,Random,14,9,Player1,17,0.0
Random,Random,7,10,Player2,11,0.0
Random,Random,6,12,Player2,15,0.0
Random,Random,15,13,Player1,24,0.0
Random,Random,12,15,Player2,27,0.0
Random,Random,7,17,Player2,11,0.0
Random,Random,8,7,Player1,16,0.0
Random,Random,25,8,Player1,21,0.0
Random,Random,8,13,Player2,22,0.0
Random,Random,19,21,Player2,20,0.0
Random,Random,6,8,Player2,14,0.0
Random,Random,9,9,Draw,22,0.0
Random,Random,6,14,Player2,12,0.0
Random,Random,20,3,Player1,16,0.0
Random,Random,6,8,Player2,18,0.0
Random,Random,9,15,Player2,20,0.0
Random,Random,12,9,Player1,19,0.0
Random,Random,7,14,Player2,15,0.0
Random,Random,9,11,Player2,19,0.0
Random,Random,24,14,Player1,24,0.0
Random,Random,11,17,Player2,10,0.0
Random,Random,11,13,Player2,16,0.0
Random,Random,9,6,Player1,20,0.0
Random,Random,15,21,Player2,26,0.0
Random,Simple Minimax,4,25,Player2,16,0.054
Random,Simple Minimax,6,29,Player2,22,0.313
Random,Simple Minimax,8,26,Player2,22,0.106
Random,Simple Minimax,14,25,Player2,17,0.049
Random,Simple Minimax,11,26,Player2,22,0.09
Random,Simple Minimax,4,25,Player2,24,0.218
Random,Simple Minimax,9,26,Player2,22,0.356
Random,Simple Minimax,4,18,Player2,13,0.152
Random,Simple Minimax,8,27,Player2,22,0.181
Random,Simple Minimax,7,15,Player2,14,0.064
Random,Simple Minimax,9,20,Player2,14,0.043
Random,Simple Minimax,8,26,Player2,24,0.273
Random,Simple Minimax,15,25,Player2,23,0.176
Random,Simple Minimax,18,27,Player2,23,0.232
Random,Simple Minimax,8,25,Player2,20,0.064
Random,Simple Minimax,8,26,Player2,22,0.101
Random,Simple Minimax,5,26,Player2,12,0.049
Random,Simple Minimax,13,25,Player2,21,0.064
Random,Simple Minimax,14,26,Player2,25,0.179
Random,Simple Minimax,9,25,Player2,23,0.122
Random,Simple Minimax,5,26,Player2,12,0.05
Random,Simple Minimax,5,25,Player2,15,0.262
Random,Simple Minimax,7,21,Player2,20,0.107
Random,Simple Minimax,11,25,Player2,17,0.034
Random,Simple Minimax,4,24,Player2,16,0.039
Random,Simple Minimax,4,18,Player2,13,0.159
Random,Simple Minimax,8,26,Player2,20,0.071
Random,Simple Minimax,5,27,Player2,14,1.292
Random,Simple Minimax,4,22,Player2,13,0.04
Random,Simple Minimax,18,25,Player2,28,0.112
Random,Simple Minimax,5,25,Player2,14,0.06
Random,Simple Minimax,7,25,Player2,17,0.078
Random,Simple Minimax,5,21,Player2,15,0.171
Random,Simple Minimax,7,25,Player2,19,0.093
Random,Simple Minimax,3,25,Player2,16,0.163
Random,Simple Minimax,7,25,Player2,23,0.191
Random,Simple Minimax,3,19,Player2,9,0.056
Random,Simple Minimax,11,25,Player2,16,0.064
Random,Simple Minimax,16,26,Player2,16,0.113
Random,Simple Minimax,8,25,Player2,24,0.051
Random,Simple Minimax,5,27,Player2,14,1.293
Random,Simple Minimax,5,25,Player2,18,0.161
Random,Simple Minimax,4,25,Player2,19,0.224
Random,Simple Minimax,6,23,Player2,14,0.198
Random,Simple Minimax,5,27,Player2,14,1.432
Random,Simple Minimax,6,23,Player2,14,0.196
Random,Simple Minimax,5,18,Player2,16,0.026
Random,Simple Minimax,8,26,Player2,30,0.481
Random,Simple Minimax,10,26,Player2,22,0.101
Random,Simple Minimax,7,25,Player2,17,0.077
Random,Simple Minimax,10,26,Player2,23,0.077
Random,Simple Minimax,10,25,Player2,20,0.205
Random,Simple Minimax,5,33,Player2,22,0.134
Random,Simple Minimax,13,25,Player2,18,0.065
Random,Simple Minimax,9,25,Player2,20,0.084
Random,Simple Minimax,13,34,Player2,30,0.25
Random,Simple Minimax,9,25,Player2,21,0.107
Random,Simple Minimax,9,25,Player2,21,0.104
Random,Simple Minimax,7,25,Player2,18,0.147
Random,Simple Minimax,5,25,Player2,20,0.107
Random,Simple Minimax,13,25,Player2,19,0.068
Random,Simple Minimax,9,26,Player2,18,0.085
Random,Simple Minimax,9,26,Player2,20,0.068
Random,Simple Minimax,12,25,Player2,20,0.126
Random,Simple Minimax,7,26,Player2,17,0.037
Random,Simple Minimax,4,22,Player2,15,0.222
Random,Simple Minimax,4,22,Player2,13,0.042
Random,Simple Minimax,6,25,Player2,20,0.247
Random,Simple Minimax,6,25,Player2,23,0.344
Random,Simple Minimax,10,25,Player2,18,0.066
Random,Simple Minimax,7,18,Player2,18,0.134
Random,Simple Minimax,7,25,Player2,19,0.115
Random,Simple Minimax,9,25,Player2,26,0.19
Random,Simple Minimax,13,26,Player2,23,0.251
Random,Simple Minimax,4,27,Player2,14,0.398
Random,Simple Minimax,7,23,Player2,19,0.041
Random,Simple Minimax,15,25,Player2,20,0.061
Random,Simple Minimax,4,28,Player2,15,1.35
Random,Simple Minimax,9,25,Player2,17,0.088
Random,Simple Minimax,9,20,Player2,14,0.046
Random,Simple Minimax,6,26,Player2,12,0.053
Random,Simple Minimax,4,25,Player2,15,0.057
Random,Simple Minimax,12,25,Player2,22,0.149
Random,Simple Minimax,5,26,Player2,17,0.136
Random,Simple Minimax,9,25,Player2,20,0.204
Random,Simple Minimax,7,26,Player2,21,0.133
Random,Simple Minimax,10,25,Player2,19,0.09
Random,Simple Minimax,4,22,Player2,13,0.059
Random,Simple Minimax,18,25,Player2,18,0.235
Random,Simple Minimax,8,28,Player2,24,0.204
Random,Simple Minimax,4,28,Player2,15,1.277
Random,Simple Minimax,6,26,Player2,15,0.03
Random,Simple Minimax,11,28,Player2,26,0.253
Random,Simple Minimax,6,26,Player2,20,0.241
Random,Simple Minimax,10,30,Player2,25,0.33
Random,Simple Minimax,6,26,Player2,15,0.06
Random,Simple Minimax,17,28,Player2,23,0.322
Random,Simple Minimax,6,24,Player2,12,0.066
Random,Simple Minimax,3,27,Player2,12,0.114
Random,Simple Minimax,12,32,Player2,24,0.294
Random,Minimax Alpha-Beta,15,25,Player2,14,0.525
Random,Minimax Alpha-Beta,4,25,Player2,21,1.393
Random,Minimax Alpha-Beta,8,29,Player2,14,0.514
Random,Minimax Alpha-Beta,3,23,Player2,12,0.485
Random,Minimax Alpha-Beta,7,25,Player2,20,1.878
Random,Minimax Alpha-Beta,5,26,Player2,19,0.643
Random,Minimax Alpha-Beta,4,26,Player2,16,0.322
Random,Minimax Alpha-Beta,13,25,Player2,14,0.339
Random,Minimax Alpha-Beta,4,25,Player2,21,1.324
Random,Minimax Alpha-Beta,7,26,Player2,20,2.07
Random,Minimax Alpha-Beta,15,25,Player2,14,0.586
Random,Minimax Alpha-Beta,6,25,Player2,20,0.608
Random,Minimax Alpha-Beta,7,25,Player2,17,0.655
Random,Minimax Alpha-Beta,9,26,Player2,20,0.761
Random,Minimax Alpha-Beta,7,25,Player2,16,0.524
Random,Minimax Alpha-Beta,11,25,Player2,16,0.471
Random,Minimax Alpha-Beta,16,25,Player2,23,0.314
Random,Minimax Alpha-Beta,8,26,Player2,17,0.422
Random,Minimax Alpha-Beta,21,25,Player2,22,0.457
Random,Minimax Alpha-Beta,4,25,Player2,18,0.493
Random,Minimax Alpha-Beta,5,25,Player2,23,1.416
Random,Minimax Alpha-Beta,5,25,Player2,22,0.837
Random,Minimax Alpha-Beta,6,26,Player2,18,0.504
Random,Minimax Alpha-Beta,10,25,Player2,25,2.678
Random,Minimax Alpha-Beta,16,25,Player2,16,0.46
Random,Minimax Alpha-Beta,6,25,Player2,21,1.169
Random,Minimax Alpha-Beta,22,25,Player2,22,0.321
Random,Minimax Alpha-Beta,16,25,Player2,17,0.345
Random,Minimax Alpha-Beta,15,25,Player2,20,0.426
Random,Minimax Alpha-Beta,4,25,Player2,22,0.895
Random,Minimax Alpha-Beta,14,27,Player2,20,1.649
Random,Minimax Alpha-Beta,12,25,Player2,18,0.229
Random,Minimax Alpha-Beta,11,26,Player2,22,1.17
Random,Minimax Alpha-Beta,19,25,Player2,25,1.045
Random,Minimax Alpha-Beta,4,26,Player2,16,0.31
Random,Minimax Alpha-Beta,14,26,Player2,17,1.071
Random,Minimax Alpha-Beta,4,26,Player2,19,0.701
Random,Minimax Alpha-Beta,5,26,Player2,17,0.463
Random,Minimax Alpha-Beta,8,26,Player2,16,0.479
Random,Minimax Alpha-Beta,4,25,Player2,16,0.485
Random,Minimax Alpha-Beta,17,25,Player2,18,0.293
Random,Minimax Alpha-Beta,7,25,Player2,21,0.844
Random,Minimax Alpha-Beta,5,25,Player2,18,0.453
Random,Minimax Alpha-Beta,7,25,Player2,19,2.219
Random,Minimax Alpha-Beta,8,29,Player2,14,0.507
Random,Minimax Alpha-Beta,5,25,Player2,15,0.388
Random,Minimax Alpha-Beta,4,24,Player2,12,0.393
